Activity,Where we are,Where we want to be,OSS option,Azure option,Tradeoff,Recommendation
Prompt development,Prompts are embedded in code and committed to Git without explicit prompt versions.,"Prompts are reviewed in Git, registered as immutable MLflow prompt versions, and promoted by alias; each run records the prompt version, Git SHA, model deployment, and parameters.",MLflow 3 Prompt Registry and GenAI tracing.,Microsoft Foundry prompt tooling or Git-only prompt files.,"Maintaining prompt source in Git and deployable versions in MLflow adds a synchronization rule, but it gives code review plus runtime promotion and rollback. Avoid Prompt Flow because its retirement is scheduled for April 2027.",On merge register the reviewed prompt as an immutable MLflow version. Allow CI to move candidate staging and champion aliases after evaluation and approval; deployments record the exact resolved version.
Prompt evaluation,A few smoke examples are tracked in Excel. Evaluation is mostly manual and is not tied to a Git commit.,"A versioned golden dataset covers expected behavior, edge cases, safety cases, and regression thresholds. Every prompt change is evaluated and linked to its registry version.",MLflow 3 GenAI evaluation or custom evaluators with pytest.,Microsoft Foundry evaluation or a custom Azure ML job calling Azure OpenAI.,LLM evaluation consumes tokens and judge metrics can vary; deterministic checks are cheaper and more stable.,Start with deterministic checks and human-labelled examples in MLflow 3 before adding LLM-as-judge evaluation.
Batch inference,"For the 30000-doc/day LLM workload the team runs a compute instance 24/7 that polls Azure Blob for the previous day's uploads, processes them, then sits idle and billing until the next day's poll. There is no queue and no scaling; the compute is paid for continuously regardless of whether documents are present.","Portable task orchestration: self-hosted Redis on Container Apps feeds Celery workers as both broker and result backend. Workers scale on queue depth and then to zero. Releases use immutable images and versioned Redis list keys so stale revisions cannot fetch new task contracts. Processing is idempotent, rate-limit aware, observable, and crash-safe with a Celery Beat reconciliation producer that recovers queue state lost to Redis restarts.","Celery with self-hosted Redis on Container Apps as broker and result backend (7-day expiry), versioned list keys, and idempotency-keyed tasks. Reconciliation via Celery Beat schedule, no separate service required.","Celery workers on Azure Container Apps with KEDA Redis list scaling; ACR stores immutable images and Application Insights receives structured telemetry.","Celery provides retries, acknowledgements, routing, and workflow primitives. Self-hosted Redis keeps the stack Azure-native at ~$6/month versus a managed broker but requires the team to monitor and restart it. Redis at-least-once delivery is safe because every task carries an idempotency key and the Beat reconciliation producer repairs gaps automatically. Versioned list keys add release discipline with temporary key overlap.","Use self-hosted Redis on Container Apps as Celery broker and result backend with 7-day result and idempotency-key expiry. Each release consumes only its versioned Redis list key. Deploy and smoke-test the new immutable revision, switch producers to the new key, drain the old key until LLEN reports zero, then deactivate the old revision. Every task carries a contract version, release, idempotency key, and exact model and prompt versions. Configure Celery with late acknowledgement, rejection on worker loss, bounded retry with jitter, warm SIGTERM handling, an Azure OpenAI quota-aware concurrency cap, and a Beat reconciliation schedule to recover lost queue state after Redis restarts automatically."
Online inference,Some projects predict on a few dozen examples every five minutes using an Azure Function sidecar.,The smallest deployment mechanism satisfying latency and reliability requirements serves a stable API with an exact immutable model or prompt reference.,MLflow model server in a container.,Azure Functions for low volume or Azure ML managed online endpoints for dedicated model serving.,Functions are inexpensive and familiar but require custom model loading; managed endpoints provide rollout and monitoring but always-on compute may exceed budget.,Retain Azure Functions for low-volume workloads. Resolve a registry alias during release and deploy the exact MLflow model or prompt version; do not fetch a mutable alias on every request.
Packaging,A model artifact is manually copied and placed beside an Azure Function.,"One immutable package contains the model, preprocessing, dependencies, and version metadata.",MLflow Models plus Docker.,Application containers in ACR identified by immutable digest.,MLflow works well for standard models; custom containers remain necessary for application and LLM logic.,Store conventional models in self-hosted MLflow 3 and package application logic as immutable ACR containers. Include preprocessing in the model and exact artifact versions in the release manifest.
Deployment,Azure Functions are deployed manually through VS Code.,"GitHub Actions deploys an approved artifact to test, runs smoke tests, requests production approval, and records the deployed version.",GitHub Actions deploying containers to any supported platform.,"GitHub Actions with workload identity deploying to Azure Functions, Container Apps, or Azure ML endpoints.",Automation requires identities and permissions from the cloud team; manual deployment is faster to start but error-prone and unaudited.,"Replace VS Code deployment with GitHub Actions using workload identity. Deploy to test, run smoke tests, then require GitHub approval for production."
Rollback,A team member manually performs rollback.,"A workflow redeploys the previous immutable image, model, prompt, configuration, producer route, and worker queue in less than 15 minutes.",Registry alias reassignment and redeployment of the prior container digest.,"Container Apps revision activation, immutable Function packages, and GitHub workflows.","A stale worker rollback is safe only when task contracts are compatible; reactivating an old revision against a new queue can corrupt or reject tasks.","Record each release's image digest, exact model and prompt versions, task contract, queue, and configuration. Roll back producer routing and revision together, and require a compatibility check before replaying tasks across queue versions."
CI/CD,"GitHub Actions and ACR are available, but ML lifecycle automation is limited.","Pull requests run unit, data-contract, smoke, and evaluation tests. Merges build immutable images and register immutable artifacts; production alias and route changes require approval.",GitHub Actions plus MLflow 3 APIs and AMQP administration APIs.,"GitHub Actions, ACR, Azure workload identity, Azure ML CLI or SDK, and GitHub Environments.",Full evaluations can be slow and incur LLM costs; queue draining also makes worker deployment asynchronous rather than a single image update.,Extend GitHub Actions with separate fast PR tests and full release evaluation. Treat registry alias changes and producer queue switches as auditable deployment steps.
Environments,Test and production exist. Staging support varies by service.,"Gitflow governs code integration; one shared MLflow registry holds immutable artifacts; protected aliases and release manifests govern promotion into isolated test and production deployments.",Separate registries or one registry with aliases and RBAC.,Separate resource groups for runtime services plus GitHub Environments for approval.,"One registry avoids copying artifacts but mutable aliases can be changed accidentally. Git branches are not environment isolation and must not be used as deployable artifact references.",Use one backed-up MLflow registry with candidate staging and champion aliases. Only CI may move protected aliases after GitHub approval; test and production deploy exact resolved versions into separate resource groups and identities.
Service monitoring,"Logs are collected and archived to Blob, but operational and cost monitoring is limited.","Azure Monitor dashboards and alerts cover MLflow, Redis, and PostgreSQL health; failure rates; latency percentiles; queue depth; retries; deployed versions; and Azure OpenAI token usage. Log Analytics provides custom KQL workbooks for per-prediction tracing and contract-version drilldown. Application Insights captures structured telemetry with sampling.","OpenTelemetry exported to a self-hosted or managed observability stack.","Application Insights, Azure Monitor, Log Analytics, and Azure Cost Management.","Azure monitoring is deeply integrated; ingestion can grow, and an ingestion cap that cuts data collection makes the team blind. Cost Management budgets do not stop spending.","Use Azure Monitor for real-time service health with KQL dashboards, Log Analytics for custom investigation, and Application Insights for structured telemetry with cost-conscious sampling. Use Cost Management budgets and forecast alerts for Azure spend; use the Log Analytics ingestion cap only as an emergency safeguard, not a spending cap."
Quality monitoring,Prediction quality is manually reviewed every few weeks and takes about one day. User feedback is collected in a Teams channel.,"Production samples and feedback feed a versioned evaluation dataset, and a scheduled job produces quality reports and regression alerts.",Evidently or MLflow 3 evaluation and monitoring jobs.,"Scheduled Azure ML evaluation job, with structured Teams feedback exported to Blob or Table storage and linked to prediction IDs.",Automated proxies cannot fully replace labels or human review; collecting production samples has storage and privacy implications.,Automate data collection and MLflow 3 report generation first to reduce the recurring review to under two hours. Link Teams feedback to prediction IDs.
Audit and governance,"Deployment decisions occur in Zoom, while application logs are saved to Blob.","Each release records its approver, evaluation run, dataset, code SHA, image digest, exact model and prompt versions, task contract, queue route, and deployment time.",MLflow tags and aliases plus GitHub releases and approval records.,"GitHub Environment approvals, Azure activity logs, and Blob retention.",A heavy governance platform is unnecessary for the current team but mutable aliases and queue routes require an audit trail.,"Record approvals in GitHub rather than Zoom alone. Each release links to its MLflow run and evaluation, exact artifact versions, Git SHA, dataset, image digest, task queue, contract version, and approver."
