"Phase","Week","Workstream","Task","Owner","Deliverable","Done criteria"
"Phase 1: Repeatable delivery","Week 3","Feature engineering","Package preprocessing as a scikit-learn Pipeline bundled with the MLflow model","1 engineer","Packaged preprocessing pipeline","Inference applies the packaged transformations without separate learned-parameter files"
"Phase 1: Repeatable delivery","Weeks 3-4","Training","Move candidate training into an Azure ML job definition stored in Git and connect it to self-hosted MLflow","1 engineer","Azure ML job YAML in Git","Scale-to-zero compute runs remotely and logs complete lineage to self-hosted MLflow"
"Phase 1: Repeatable delivery","Week 4","Dataset versioning","Register pilot training data as an Azure ML data asset with an immutable Blob path","1 engineer","Registered data asset","Data asset is queryable by name and version and the underlying path cannot be overwritten"
"Phase 1: Repeatable delivery","Week 4","Registry promotion","Register the first passing model and prompt versions; implement candidate, staging, and champion aliases mutated only by CI","1 engineer","Protected promotion workflow","A GitHub Environment approval moves an alias, and the release manifest records the exact resolved immutable version"
"Phase 1: Repeatable delivery","Weeks 3-4","Containers","Build MLflow and application images in GitHub Actions and push immutable digests to ACR","1 engineer","CI image pipeline","A merge produces scanned images and records their digests without using mutable tags for deployment"
"Phase 1: Repeatable delivery","Weeks 4-5","Deployment","Deploy the pilot to test with workload identity, run smoke tests, and require GitHub Environment approval for production","1 engineer","Test and production workflows","Deployment uses the exact image, model, and prompt versions from the approved manifest without VS Code steps"
"Phase 1: Repeatable delivery","Week 5","Rollback","Implement rollback of the exact prior release manifest, including aliases, image, configuration, and Function package where applicable","1 engineer","Rollback workflow","A compatible prior release is restored in under 15 minutes and the deployed exact versions are verified"
"Phase 1: Repeatable delivery","Week 5","Monitoring and cost","Configure dashboards and alerts for MLflow, PostgreSQL, application failures, latency, token use, and budgets","1 engineer","Operational dashboards and cost controls","Alerts cover MLflow health, database capacity, error rate, latency p95, token use, Azure actual and forecast spend; log ingestion caps are emergency-only"
"Phase 2: Production feedback loop","Week 6","Batch foundation","Deploy self-hosted Redis on Container Apps as Celery broker and result backend: one minimum replica, 1 GB memory, versioned list keys, TLS, and a health endpoint","2 engineers","Redis broker and result backend","Health check passes, task publish and dequeue complete under 10ms, result retrieval and idempotency key operations work, and 7-day key expiry is configured and tested"
"Phase 2: Production feedback loop","Weeks 6-7","Batch worker","Build Celery workers for the 30000-document workload with late acknowledgement, rejection on worker loss, bounded retry with jitter, idempotency, quota-aware concurrency, and Redis list key consumption","2 engineers","Reliable Celery worker","Load test processes representative tasks without duplicate side effects, uncontrolled 429 retries, or lost terminal status; results and idempotency keys are written to Redis with 7-day TTL"
"Phase 2: Production feedback loop","Week 7","Batch producer","Publish tasks directly from the controlled uploader and from a Celery Beat reconciliation schedule that scans for unprocessed documents and republishes them idempotently","1 engineer","Task producer and reconciliation job","Every eligible document receives one stable idempotency key; Beat reconciliation detects and republishes missing work without duplicate effects; Redis restart recovery is tested end-to-end"
"Phase 2: Production feedback loop","Weeks 7-8","Stale-code-safe rollout","Implement release-specific Redis list keys and a blue-green worker workflow: deploy new revision, smoke-test its key, switch producer route, drain old key, then deactivate old revision","2 engineers","Versioned-key deployment workflow","Old and new revisions never consume new tasks from the same Redis key; deactivation is blocked until LLEN reports zero on the old key; unsupported task contracts are rejected and logged"
"Phase 2: Production feedback loop","Week 8","Graceful shutdown","Configure Celery warm shutdown, late acknowledgement, low prefetch, task time limits, and Container Apps termination grace; test scale-in, forced termination, and Redis restart recovery via reconciliation","1 engineer","Worker shutdown policy","Scale-in finishes or safely redelivers tasks, duplicate delivery has no duplicate side effect, no task depends on container-local state, and reconciliation recovers lost queue state after Redis restart"
"Phase 2: Production feedback loop","Week 8","Batch scaling","Configure KEDA Redis list scaling with zero minimum replicas and a quota-derived maximum; monitor LLEN and active workers","1 engineer","KEDA worker scaling","Workers process 30000 documents inside the agreed window, scale to zero, and never exceed the Azure OpenAI concurrency budget"
"Phase 2: Production feedback loop","Week 8","Batch rollback","Test rollback of producer routing and worker revision with compatible and incompatible task contracts using Redis key routing","2 engineers","Key-aware rollback runbook","Compatible rollback completes under 15 minutes; incompatible tasks are logged and skipped until explicitly transformed and replayed"
"Phase 2: Production feedback loop","Weeks 8-9","Monitoring","Capture prediction ID, task contract, producer and worker release, exact prompt and model versions, latency, token use, retry, Redis LLEN, and failure reason in structured telemetry; build Azure Monitor health dashboards and KQL workbooks","1 engineer","Structured inference telemetry and dashboards","Every prediction is traceable; dashboards cover MLflow, Redis, PostgreSQL, and worker health; alerts fire for LLEN growth, stale active revisions, exhausted retries, and sustained 429 responses"
"Phase 2: Production feedback loop","Week 9","Quality monitoring","Schedule daily mini-evaluation and weekly full evaluation jobs against recent production samples","1 engineer","Scheduled MLflow quality reports","Jobs produce versioned MLflow evaluation reports and each alert has a documented team response"
"Phase 2: Production feedback loop","Weeks 9-10","Feedback","Export structured Teams feedback into Blob or Table storage linked to prediction IDs","1 engineer","Feedback export pipeline","At least one week of classified and access-controlled feedback is linked to predictions"
"Phase 2: Production feedback loop","Week 10","Governance","Record every production release with MLflow run, evaluation, Git SHA, dataset, image digest, exact artifacts, task contract, queue, approver, and timestamp","ML lead","Release log","At least three releases, including one worker queue transition, are fully traced end-to-end"
"Phase 2: Production feedback loop","Week 10","Retrospective","Review success criteria, team load, Azure costs, Redis operations, recovery tests, and remaining gaps","ML lead","Retrospective and backlog","Team agrees what to keep, change, defer, and who owns ongoing MLflow, Redis, and PostgreSQL operations"
"Phase 3: Future exploration",Future,GPU training POC,"When needed, request GPU quota, deploy the optional GPU compute Bicep module, and run a multi-GPU fine-tuning job that logs to self-hosted MLflow",1 engineer,GPU training job definition in Git,"GPU quota is approved, the optional GPU Bicep module deploys a GPU cluster attached to the existing Azure ML workspace, a multi-node or multi-GPU job completes, logs parameters, metrics, and artifacts to self-hosted MLflow, and the cluster scales to zero"
